м.Київ;128.183696443944;116.294997994261
Черкаська область;125.467963512474;98.2087196861626
Харківська область;120.710520236555;104.084092634776
Чернігівська область;120.379412111911;101.66585608489
Львівська область;119.093785487724;102.353526955622
Київська область;119.092335523887;103.816515556715
Волинська область;117.818459495352;92.8604612159329
Полтавська область;116.549318364074;96.9621855165558
Сумська область;113.848242982644;97.182077975097
Хмельницька область;113.427540589296;97.6823025929345
Житомирська область;112.885472484477;94.9409577870163
Запорізька область;112.774003387181;91.7315013816395
Вінницька область;112.604337782341;94.9016287247825
Кіровоградська область;112.337652628956;86.6325891331587
Дніпропетровська область;112.089037350921;92.4665127383533
Івано-Франківська область;111.906093242844;88.9712254570074
Тернопільська область;111.639239895823;90.3096522224289
Херсонська область;109.904048665781;88.4761416861827
Луганська область;109.753689087165;93.1531501891758
Одеська область;109.230986420472;95.6411764705882
Донецька область;108.518909789376;90.2384354789036
Рівненська область;108.409361535449;86.1283876562839
Миколаївська область;107.164343665488;89.0115380901806
Чернівецька область;102.90434298441;77.7067780480068
Закарпатська область;94.1037989099488;70.6890291111799
